序號,機關代碼,機關名稱,網站名稱,網址,標章等級,登錄日期,標章狀態
3012,A09630000Q,國立臺南藝術大學,國立臺南藝術大學校務發展總辦公室,https://idp.tnnua.edu.tw/,AA,109/9/17,啟用
3013,A09630000Q,國立臺南藝術大學,國立臺南藝術大學國際事務處,https://oia.tnnua.edu.tw/,AA,109/9/17,啟用
3014,301060000C,內政部消防署,內政部消防署防災有bear來,https://sbear.emic.gov.tw,AA,109/9/17,啟用
3015,376589614X,新竹市立新科國民中學,新竹市立新科國民中學,https://www.hkjh.hc.edu.tw,AA,109/9/17,啟用
3016,A09630000Q,國立臺南藝術大學,國立臺南藝術大學總務處,https://gene.tnnua.edu.tw/,AA,109/9/17,啟用
3017,A09630000Q,國立臺南藝術大學,國立臺南藝術大學校務研究辦公室,https://ir.tnnua.edu.tw/,AA,109/9/17,啟用
3018,A09630000Q,國立臺南藝術大學,國立臺南藝術大學校長室,https://president.tnnua.edu.tw/,AA,109/9/17,啟用
3019,0,民間團體,財團法人車輛研究測試中心車輛節能應用技術研究網站,https://energy.artc.org.tw/,A,109/9/17,啟用
3020,395330500E,臺南市文化資產管理處,臺南市文化資產管理處,http://tmach-culture.tainan.gov.tw,AA,109/9/17,啟用
3021,A09630000Q,國立臺南藝術大學,國立臺南藝術大學資訊處,https://ic.tnnua.edu.tw/,AA,109/9/18,啟用
3022,A09630000Q,國立臺南藝術大學,國立臺南藝術大學藝術推廣處,https://apo.tnnua.edu.tw/,AA,109/9/18,啟用
